"Taxon","Lineage","Conflict","Version","Status","Scorpio Call","Note","% of non-N bases","Median Coverage"
"7243155","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","95.73%","607(coverage)(amplicons)"
"7243156","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 1; Oth alleles 0","99.67%","2096(coverage)(amplicons)"
"7243157","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3312(coverage)(amplicons)"
"7243158","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","97.93%","756(coverage)(amplicons)"
"7243159","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","86.81%","302(coverage)(amplicons)"
"7243160","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","94.65%","504(coverage)(amplicons)"
"7243161","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","2903(coverage)(amplicons)"
"7243162","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","95.32%","478(coverage)(amplicons)"
"7243163","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","80.87%","145(coverage)(amplicons)"
"7243164","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.23%","859(coverage)(amplicons)"
"7243165","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","85.48%","196(coverage)(amplicons)"
"7243166","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 9; Ref alleles 2; Amb alleles 2; Oth alleles 0; scorpio replaced lineage assignment B.1.575","96.45%","603(coverage)(amplicons)"
"7243167","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.83%","1190(coverage)(amplicons)"
"7243168","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","97.61%","802(coverage)(amplicons)"
"7243169","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 6; Ref alleles 1; Amb alleles 6; Oth alleles 0; scorpio replaced lineage assignment B.1.36.31","74.88%","196(coverage)(amplicons)"
"7243170","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.75%","3398(coverage)(amplicons)"
"7243171","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","97.97%","1335(coverage)(amplicons)"
"7243172","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.72%","3124(coverage)(amplicons)"
"7243173","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.74%","2245(coverage)(amplicons)"
"7243174","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3415(coverage)(amplicons)"
"7243177","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3660(coverage)(amplicons)"
"7243178","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.74%","3762(coverage)(amplicons)"
"7243179","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 5; Ref alleles 3; Amb alleles 5; Oth alleles 0; scorpio replaced lineage assignment B.1","76.39%","83(coverage)(amplicons)"
"7243180","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","2356(coverage)(amplicons)"
"7243181","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 5; Ref alleles 1; Amb alleles 7; Oth alleles 0; scorpio replaced lineage assignment B.1.575","83.32%","281(coverage)(amplicons)"
"7243182","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.90%","1483(coverage)(amplicons)"
"7243184","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","90.71%","170(coverage)(amplicons)"
"7243185","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.71%","1917(coverage)(amplicons)"
"7243186","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","94.43%","331(coverage)(amplicons)"
"7243188","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","95.31%","495(coverage)(amplicons)"
"7243189","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 1; Oth alleles 0","98.78%","1379(coverage)(amplicons)"
"7243190","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 7; Ref alleles 3; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1","83.19%","222(coverage)(amplicons)"
"7243191","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.92%","888(coverage)(amplicons)"
"7243192","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.72%","2876(coverage)(amplicons)"
"7243193","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3024(coverage)(amplicons)"
"7243194","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.77%","2754(coverage)(amplicons)"
"7243195","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","89.98%","248(coverage)(amplicons)"
"7243196","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.77%","4563(coverage)(amplicons)"
"7243198","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3752(coverage)(amplicons)"
"7243199","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3059(coverage)(amplicons)"
"7243200","B.1","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","88.51%","364(coverage)(amplicons)"
"7243201","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 7; Ref alleles 2; Amb alleles 4; Oth alleles 0; scorpio replaced lineage assignment B.1.575","89.33%","321(coverage)(amplicons)"
"7243202","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3915(coverage)(amplicons)"
"7243203","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0; scorpio replaced lineage assignment B.1.575","86.29%","268(coverage)(amplicons)"
"7243204","B","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","73.23%","159(coverage)(amplicons)"
"7243205","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 5; Ref alleles 2; Amb alleles 6; Oth alleles 0; scorpio replaced lineage assignment B.1.113","81.95%","396(coverage)(amplicons)"
"7243208","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","91.93%","381(coverage)(amplicons)"
"7243209","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 3; Amb alleles 2; Oth alleles 0; scorpio replaced lineage assignment B.1","95.75%","548(coverage)(amplicons)"
"7243210","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.37%","1278(coverage)(amplicons)"
"7243211","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.78%","3499(coverage)(amplicons)"
"7243212","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","3222(coverage)(amplicons)"
"7243213","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","3205(coverage)(amplicons)"
"7243214","A","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","70.74%","101(coverage)(amplicons)"
"7243215","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.75%","3342(coverage)(amplicons)"
"7243216","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","2460(coverage)(amplicons)"
"7243217","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 7; Ref alleles 3; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","79.72%","150(coverage)(amplicons)"
"7243219","AY.3","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 9; Ref alleles 0; Amb alleles 4; Oth alleles 0","83.78%","250(coverage)(amplicons)"
"7243220","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","96.25%","518(coverage)(amplicons)"
"7243221","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.76%","1154(coverage)(amplicons)"
"7243223","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","96.85%","972(coverage)(amplicons)"
"7243224","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 9; Ref alleles 2; Amb alleles 2; Oth alleles 0","96.59%","651(coverage)(amplicons)"
"7243225","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 9; Ref alleles 1; Amb alleles 3; Oth alleles 0","91.63%","371(coverage)(amplicons)"
"7243226","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1.575","86.83%","265(coverage)(amplicons)"
"7243227","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.72%","3585(coverage)(amplicons)"
"7243228","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.78%","3653(coverage)(amplicons)"
"7243230","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.77%","3955(coverage)(amplicons)"
"7243232","B.1.575","0","07/28/2021v03/01/2008 00:00:00","passed_qc","","","90.47%","70(coverage)(amplicons)"
"7243233","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.77%","3201(coverage)(amplicons)"
"7243234","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","98.98%","3111(coverage)(amplicons)"
"7243235","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 5; Ref alleles 2; Amb alleles 6; Oth alleles 0; scorpio replaced lineage assignment B.1.623","69.38%","81(coverage)(amplicons)"
"7263001","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.74%","1987(coverage)(amplicons)"
"7263180","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.78%","3770(coverage)(amplicons)"
"7263181","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","4370(coverage)(amplicons)"
"7263182","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0","99.74%","4090(coverage)(amplicons)"
"7263183","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 11; Ref alleles 2; Amb alleles 0; Oth alleles 0","99.78%","4213(coverage)(amplicons)"
"7263184","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.73%","1879(coverage)(amplicons)"
"7263185","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0","99.73%","3783(coverage)(amplicons)"
"7263186","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.75%","3186(coverage)(amplicons)"
"7263187","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.65%","1904(coverage)(amplicons)"
"7263188","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.33%","925(coverage)(amplicons)"
"7263189","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","4098(coverage)(amplicons)"
"7263190","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 2; Oth alleles 0","98.60%","1002(coverage)(amplicons)"
"7263191","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.74%","2778(coverage)(amplicons)"
"7273106","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 0; Oth alleles 1","99.76%","2938(coverage)(amplicons)"
"7283010","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 8; Ref alleles 2; Amb alleles 3; Oth alleles 0; scorpio replaced lineage assignment B.1","80.01%","890(coverage)(amplicons)"
"7283011","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0","99.76%","3159(coverage)(amplicons)"
"7283012","B.1.1.7","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Alpha (B.1.1.7-like)","scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.72%","2337(coverage)(amplicons)"
"7283013","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0","99.74%","2355(coverage)(amplicons)"
"7283014","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0","99.75%","2151(coverage)(amplicons)"
"7283015","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.74%","3124(coverage)(amplicons)"
"7283016","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.76%","2349(coverage)(amplicons)"
"7283017","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 12; Ref alleles 1; Amb alleles 0; Oth alleles 0","99.74%","4008(coverage)(amplicons)"
"7283018","B.1.617.2","0","07/28/2021v03/01/2008 00:00:00","passed_qc","Delta (B.1.617.2-like)","scorpio call: Alt alleles 6; Ref alleles 3; Amb alleles 4; Oth alleles 0; scorpio replaced lineage assignment B.1","83.15%","223(coverage)(amplicons)"
